"Date (TU)","Date de la mesure du min/max (TU)","Valeur (en m)","Statut","Qualification","Méthode","Continuité"
1988-01-01T00:00:00.000Z,1988-01-11T22:57:00.000Z,"0.32","16",20,4,0
1988-02-01T00:00:00.000Z,1988-02-28T15:49:00.000Z,"0.40","16",20,10,0
1988-03-01T00:00:00.000Z,1988-03-14T11:08:00.000Z,"0.30","16",20,10,0
1988-04-01T00:00:00.000Z,1988-04-02T09:06:00.000Z,"0.44","16",20,10,0
1988-05-01T00:00:00.000Z,1988-05-31T23:59:59.000Z,"0.42","16",20,10,0
1988-06-01T00:00:00.000Z,1988-06-26T19:11:00.000Z,"0.26","16",20,10,0
1988-07-01T00:00:00.000Z,1988-07-31T23:59:59.000Z,"0.40","16",20,10,0
1988-08-01T00:00:00.000Z,1988-08-20T07:15:00.000Z,"0.26","16",20,10,0
1988-09-01T00:00:00.000Z,1988-09-28T16:42:00.000Z,"0.19","16",20,10,0
1988-10-01T00:00:00.000Z,1988-10-01T13:45:00.000Z,"0.36","16",20,10,0
1988-11-01T00:00:00.000Z,1988-11-28T07:49:00.000Z,"0.19","16",20,10,0
1988-12-01T00:00:00.000Z,1988-12-28T12:01:00.000Z,"0.29","16",20,10,0
1989-01-01T00:00:00.000Z,1989-01-20T08:10:00.000Z,"0.24","16",20,10,0
1989-02-01T00:00:00.000Z,1989-02-01T00:00:00.000Z,"0.26","16",20,10,0
1989-03-01T00:00:00.000Z,1989-03-27T14:59:00.000Z,"0.31","16",20,10,0
1989-04-01T00:00:00.000Z,1989-04-01T00:00:00.000Z,"0.31","16",20,10,0
1989-05-01T00:00:00.000Z,1989-05-30T22:50:00.000Z,"0.31","16",20,10,0
1989-06-01T00:00:00.000Z,1989-06-25T15:31:00.000Z,"0.19","16",20,10,0
1989-07-01T00:00:00.000Z,1989-07-29T18:41:00.000Z,"0.18","16",20,10,0
1989-08-01T00:00:00.000Z,1989-08-31T23:59:59.000Z,"0.18","16",20,10,0
1989-09-01T00:00:00.000Z,1989-09-04T14:43:00.000Z,"0.13","16",20,10,0
1989-10-01T00:00:00.000Z,1989-10-03T19:18:00.000Z,"0.14","16",20,10,0
1989-11-01T00:00:00.000Z,1989-11-01T00:00:00.000Z,"0.24","16",20,10,0
1989-12-01T00:00:00.000Z,1989-12-18T11:12:00.000Z,"0.38","16",20,10,0
1990-01-01T00:00:00.000Z,1990-01-27T23:59:59.000Z,"0.34","16",20,10,0
1990-02-01T00:00:00.000Z,1990-02-28T23:59:59.000Z,"0.45","16",20,10,0
1990-03-01T00:00:00.000Z,1990-03-25T05:58:00.000Z,"0.30","16",20,10,0
1990-04-01T00:00:00.000Z,1990-04-01T09:25:00.000Z,"0.30","16",20,10,0
1990-05-01T00:00:00.000Z,1990-05-05T22:59:00.000Z,"0.30","16",20,10,0
1990-06-01T00:00:00.000Z,1990-06-16T01:31:00.000Z,"0.26","16",20,10,0
1990-07-01T00:00:00.000Z,1990-07-22T12:18:00.000Z,"0.24","16",20,10,0
1990-08-01T00:00:00.000Z,1990-08-19T09:45:00.000Z,"0.20","16",20,10,0
1990-09-01T00:00:00.000Z,1990-09-07T09:22:00.000Z,"0.21","16",20,10,0
1990-10-01T00:00:00.000Z,1990-10-02T08:50:00.000Z,"0.26","16",20,10,0
1990-11-01T00:00:00.000Z,1990-11-19T05:53:00.000Z,"0.46","16",20,10,0
1990-12-01T00:00:00.000Z,1990-12-21T10:41:00.000Z,"0.44","16",20,10,0
1991-01-01T00:00:00.000Z,1991-01-28T13:26:00.000Z,"0.38","16",20,10,0
1991-02-01T00:00:00.000Z,1991-02-11T13:08:00.000Z,"0.32","16",20,10,0
1991-03-01T00:00:00.000Z,1991-03-01T00:00:00.000Z,"0.45","16",20,10,0
1991-04-01T00:00:00.000Z,1991-04-28T16:11:00.000Z,"0.36","16",20,10,0
1991-05-01T00:00:00.000Z,1991-05-23T04:00:00.000Z,"0.29","16",20,10,0
1991-06-01T00:00:00.000Z,1991-06-29T16:07:00.000Z,"0.25","16",20,10,0
1991-07-01T00:00:00.000Z,1991-07-01T06:15:00.000Z,"0.24","16",20,10,0
1991-08-01T00:00:00.000Z,1991-08-31T04:08:00.000Z,"0.22","16",20,10,0
1991-09-01T00:00:00.000Z,1991-09-01T07:51:00.000Z,"0.28","16",20,10,0
1991-10-01T00:00:00.000Z,1991-10-26T17:01:00.000Z,"0.50","16",20,10,0
1991-11-01T00:00:00.000Z,1991-11-30T23:59:59.000Z,"0.51","16",20,10,0
1991-12-01T00:00:00.000Z,1991-12-30T08:41:00.000Z,"0.43","16",20,10,0
1992-01-01T00:00:00.000Z,1992-01-06T13:25:00.000Z,"0.42","16",20,10,0
1992-02-01T00:00:00.000Z,1992-02-19T15:14:00.000Z,"0.45","16",20,10,0
1992-03-01T00:00:00.000Z,1992-03-30T08:14:00.000Z,"0.43","16",20,10,0
1992-04-01T00:00:00.000Z,1992-04-29T16:24:00.000Z,"0.46","16",20,10,0
1992-05-01T00:00:00.000Z,1992-05-18T09:36:00.000Z,"0.43","16",20,10,0
1992-06-01T00:00:00.000Z,1992-06-22T09:38:00.000Z,"0.57","16",20,10,0
1992-07-01T00:00:00.000Z,1992-07-15T12:35:00.000Z,"0.44","16",20,10,0
1992-08-01T00:00:00.000Z,1992-08-25T20:26:00.000Z,"0.41","16",20,10,0
1992-09-01T00:00:00.000Z,1992-09-07T08:56:00.000Z,"0.44","16",20,10,0
1992-10-01T00:00:00.000Z,1992-10-31T23:59:59.000Z,"0.44","16",20,10,0
1992-11-01T00:00:00.000Z,1992-11-30T08:46:00.000Z,"0.38","16",20,10,0
1993-05-01T00:00:00.000Z,1993-05-31T20:13:00.000Z,"0.71","16",20,10,1
1993-06-01T00:00:00.000Z,1993-06-28T20:07:00.000Z,"0.54","16",20,10,0
1993-07-01T00:00:00.000Z,1993-07-31T23:59:59.000Z,"0.49","16",20,10,0
1993-08-01T00:00:00.000Z,1993-08-04T20:13:00.000Z,"0.48","16",20,10,0
1993-10-01T00:00:00.000Z,1993-10-31T15:49:00.000Z,"0.65","16",20,10,8
1993-11-01T00:00:00.000Z,1993-11-29T21:30:00.000Z,"0.62","16",20,10,0
1993-12-01T00:00:00.000Z,1993-12-27T09:53:00.000Z,"0.54","16",20,10,0
1994-01-01T00:00:00.000Z,1994-01-01T00:00:00.000Z,"0.57","16",20,10,0
1994-02-01T00:00:00.000Z,1994-02-01T23:57:00.000Z,"0.60","16",20,10,0
1994-03-01T00:00:00.000Z,1994-03-30T01:50:00.000Z,"0.60","16",20,10,0
1994-04-01T00:00:00.000Z,1994-04-13T17:13:00.000Z,"0.56","16",20,10,0
1994-05-01T00:00:00.000Z,1994-05-31T19:07:00.000Z,"0.59","16",20,10,0
1994-06-01T00:00:00.000Z,1994-06-22T19:50:00.000Z,"0.44","16",20,10,0
1994-07-01T00:00:00.000Z,1994-07-05T22:38:00.000Z,"0.42","16",20,10,0
1994-08-01T00:00:00.000Z,1994-08-06T17:06:00.000Z,"0.41","16",20,10,0
1994-09-01T00:00:00.000Z,1994-09-04T20:36:00.000Z,"0.41","16",20,10,0
1994-10-01T00:00:00.000Z,1994-10-19T02:00:00.000Z,"0.54","16",20,10,0
1994-11-01T00:00:00.000Z,1994-11-30T23:59:59.000Z,"0.60","16",20,10,0
1994-12-01T00:00:00.000Z,1994-12-31T19:00:00.000Z,"0.51","16",20,10,0
1995-01-01T00:00:00.000Z,1995-01-05T13:19:00.000Z,"0.47","16",20,10,0
1995-02-01T00:00:00.000Z,1995-02-23T22:49:00.000Z,"0.62","16",20,10,0
1995-03-01T00:00:00.000Z,1995-03-26T01:44:00.000Z,"0.49","16",20,10,0
1995-04-01T00:00:00.000Z,1995-04-15T20:20:00.000Z,"0.44","16",20,10,0
1995-05-01T00:00:00.000Z,1995-05-30T23:13:00.000Z,"0.48","16",20,10,0
1995-06-01T00:00:00.000Z,1995-06-23T16:18:00.000Z,"0.39","16",20,10,0
1995-07-01T00:00:00.000Z,1995-07-08T20:26:00.000Z,"0.41","16",20,10,0
1995-08-01T00:00:00.000Z,1995-08-18T02:27:00.000Z,"0.45","16",20,10,0
1995-09-01T00:00:00.000Z,1995-09-01T01:18:00.000Z,"0.47","16",20,10,0
1995-10-01T00:00:00.000Z,1995-10-03T01:52:00.000Z,"0.62","16",20,10,0
1995-11-01T00:00:00.000Z,1995-11-08T04:58:00.000Z,"0.63","16",20,10,0
1995-12-01T00:00:00.000Z,1995-12-07T13:15:00.000Z,"0.76","16",20,10,0
1996-01-01T00:00:00.000Z,1996-01-05T01:26:00.000Z,"0.83","16",20,10,0
1996-02-01T00:00:00.000Z,1996-02-25T05:28:00.000Z,"0.69","16",20,10,0
1996-03-01T00:00:00.000Z,1996-03-13T02:37:00.000Z,"0.70","16",20,10,0
1996-04-01T00:00:00.000Z,1996-04-06T06:05:00.000Z,"0.71","16",20,10,0
1996-05-01T00:00:00.000Z,1996-05-31T23:59:59.000Z,"0.70","16",20,10,0
1996-06-01T00:00:00.000Z,1996-06-30T21:36:00.000Z,"0.58","16",20,10,0
1996-07-01T00:00:00.000Z,1996-07-26T02:37:00.000Z,"0.54","16",20,10,0
1996-08-01T00:00:00.000Z,1996-08-01T21:51:00.000Z,"0.54","16",20,10,0
1996-09-01T00:00:00.000Z,1996-09-15T21:35:00.000Z,"0.52","16",20,10,0
1996-10-01T00:00:00.000Z,1996-10-01T00:00:00.000Z,"0.62","16",20,10,0
1996-11-01T00:00:00.000Z,1996-11-29T18:04:00.000Z,"0.62","16",20,10,0
1996-12-01T00:00:00.000Z,1996-12-03T19:26:00.000Z,"0.63","16",20,10,0
1997-01-01T00:00:00.000Z,1997-01-16T19:38:00.000Z,"0.60","16",20,10,0
1997-02-01T00:00:00.000Z,1997-02-26T22:21:00.000Z,"0.44","16",20,10,0
1997-03-01T00:00:00.000Z,1997-03-28T23:14:00.000Z,"0.34","16",20,10,0
1997-04-01T00:00:00.000Z,1997-04-22T19:08:00.000Z,"0.29","16",20,10,0
1997-05-01T00:00:00.000Z,1997-05-02T20:26:00.000Z,"0.28","16",20,10,0
1997-06-01T00:00:00.000Z,1997-06-20T04:50:00.000Z,"0.31","16",20,10,0
1997-07-01T00:00:00.000Z,1997-07-31T19:38:00.000Z,"0.32","16",20,10,0
1997-08-01T00:00:00.000Z,1997-08-06T15:21:00.000Z,"0.28","16",20,10,0
1997-09-01T00:00:00.000Z,1997-09-30T18:38:00.000Z,"0.32","16",20,10,0
1997-10-01T00:00:00.000Z,1997-10-05T00:15:00.000Z,"0.30","16",20,10,0
1997-11-01T00:00:00.000Z,1997-11-01T00:00:00.000Z,"0.35","16",20,10,0
1997-12-01T00:00:00.000Z,1997-12-30T07:04:00.000Z,"0.57","16",20,10,0
1998-01-01T00:00:00.000Z,1998-01-31T23:59:59.000Z,"0.41","16",20,10,0
1998-02-01T00:00:00.000Z,1998-02-28T04:47:00.000Z,"0.29","16",20,10,0
1998-03-01T00:00:00.000Z,1998-03-31T23:59:59.000Z,"0.25","16",20,10,0
1998-04-01T00:00:00.000Z,1998-04-01T01:19:00.000Z,"0.25","16",20,10,0
1998-05-01T00:00:00.000Z,1998-05-27T06:46:00.000Z,"0.29","16",20,10,0
1998-06-01T00:00:00.000Z,1998-06-30T23:59:59.000Z,"0.27","16",20,10,0
1998-07-01T00:00:00.000Z,1998-07-21T18:34:00.000Z,"0.19","16",20,10,0
1998-08-01T00:00:00.000Z,1998-08-27T23:59:59.000Z,"0.16","16",20,10,0
1998-09-01T00:00:00.000Z,1998-09-21T06:13:00.000Z,"0.16","16",20,10,0
1998-10-01T00:00:00.000Z,1998-10-27T23:05:00.000Z,"0.21","16",20,10,0
1998-11-01T00:00:00.000Z,1998-11-09T06:42:00.000Z,"0.20","16",20,10,0
1998-12-01T00:00:00.000Z,1998-12-01T00:00:00.000Z,"0.20","16",20,10,0
1999-01-01T00:00:00.000Z,1999-01-16T16:23:00.000Z,"0.40","16",20,10,0
1999-02-01T00:00:00.000Z,1999-02-28T23:59:59.000Z,"0.30","16",20,10,0
1999-03-01T00:00:00.000Z,1999-03-01T23:59:59.000Z,"0.29","16",20,10,0
1999-04-01T00:00:00.000Z,1999-04-24T23:38:00.000Z,"0.33","16",20,10,0
1999-05-01T00:00:00.000Z,1999-05-02T22:07:00.000Z,"0.34","16",20,10,0
1999-06-01T00:00:00.000Z,1999-06-30T23:59:59.000Z,"0.23","16",20,10,0
1999-07-01T00:00:00.000Z,1999-07-31T02:20:00.000Z,"0.18","16",20,10,0
1999-08-01T00:00:00.000Z,1999-08-24T01:39:00.000Z,"0.18","16",20,10,0
1999-09-01T00:00:00.000Z,1999-09-03T01:37:00.000Z,"0.17","16",20,10,0
1999-10-01T00:00:00.000Z,1999-10-17T03:11:00.000Z,"0.28","16",20,10,0
1999-11-01T00:00:00.000Z,1999-11-30T23:59:59.000Z,"0.37","16",20,10,0
1999-12-01T00:00:00.000Z,1999-12-22T08:14:00.000Z,"0.28","16",20,10,0
2000-01-01T00:00:00.000Z,2000-01-27T07:13:00.000Z,"0.23","16",20,10,0
2000-02-01T00:00:00.000Z,2000-02-27T06:52:00.000Z,"0.22","16",20,10,0
2000-03-01T00:00:00.000Z,2000-03-23T01:05:00.000Z,"0.21","16",20,10,0
2000-04-01T00:00:00.000Z,2000-04-02T04:08:00.000Z,"0.23","16",20,10,0
2000-05-01T00:00:00.000Z,2000-05-31T23:59:59.000Z,"0.28","16",20,10,0
2000-06-01T00:00:00.000Z,2000-06-30T23:59:59.000Z,"0.18","16",20,10,0
2000-07-01T00:00:00.000Z,2000-07-22T04:26:00.000Z,"0.16","16",20,10,0
2000-08-01T00:00:00.000Z,2000-08-29T03:56:00.000Z,"0.14","16",20,10,0
2000-09-01T00:00:00.000Z,2000-09-12T20:26:00.000Z,"0.12","16",20,10,0
2000-10-01T00:00:00.000Z,2000-10-10T22:18:00.000Z,"0.34","16",20,10,0
2000-11-01T00:00:00.000Z,2000-11-05T06:03:00.000Z,"0.37","16",20,10,0
2000-12-01T00:00:00.000Z,2000-12-23T10:00:00.000Z,"0.38","16",20,10,0
2001-01-01T00:00:00.000Z,2001-01-01T09:23:00.000Z,"0.51","16",20,10,0
2001-02-01T00:00:00.000Z,2001-02-27T06:19:00.000Z,"0.33","16",20,10,0
2001-03-01T00:00:00.000Z,2001-03-02T06:17:00.000Z,"0.33","16",20,10,0
2001-04-01T00:00:00.000Z,2001-04-30T20:00:00.000Z,"0.32","16",20,10,0
2001-05-01T00:00:00.000Z,2001-05-01T00:00:00.000Z,"0.33","16",20,10,0
2001-06-01T00:00:00.000Z,2001-06-30T23:59:59.000Z,"0.22","16",20,10,0
2001-07-01T00:00:00.000Z,2001-07-14T04:59:00.000Z,"0.19","16",20,10,0
2001-08-01T00:00:00.000Z,2001-08-25T21:54:00.000Z,"0.15","16",20,10,0
2001-09-01T00:00:00.000Z,2001-09-06T23:20:00.000Z,"0.14","16",20,10,0
2001-10-01T00:00:00.000Z,2001-10-02T23:59:59.000Z,"0.21","16",20,10,0
2001-11-01T00:00:00.000Z,2001-11-29T20:06:00.000Z,"0.10","16",20,10,0
2001-12-01T00:00:00.000Z,2001-12-24T23:00:00.000Z,"0.05","16",20,10,0
2002-01-01T00:00:00.000Z,2002-01-01T19:00:00.000Z,"0.05","16",20,10,0
2002-02-01T00:00:00.000Z,2002-02-16T06:00:00.000Z,"0.07","16",20,10,0
2002-03-01T00:00:00.000Z,2002-03-01T00:00:00.000Z,"0.16","16",20,10,0
2002-04-01T00:00:00.000Z,2002-04-30T22:00:00.000Z,"0.09","16",20,10,0
2002-05-01T00:00:00.000Z,2002-05-01T00:00:00.000Z,"0.09","16",20,10,0
2002-06-01T00:00:00.000Z,2002-06-30T17:00:00.000Z,"0.06","16",20,10,0
2002-07-01T00:00:00.000Z,2002-07-28T16:12:00.000Z,"0.00","16",20,10,0
2002-08-01T00:00:00.000Z,2002-08-18T15:11:00.000Z,"-0.02","16",20,10,0
2002-09-01T00:00:00.000Z,2002-09-02T04:35:00.000Z,"0.05","16",20,10,0
2002-10-01T00:00:00.000Z,2002-10-06T09:12:00.000Z,"0.06","16",20,10,0
