"Time [yyyy-MM-dd hh:mm:ss]","Q_maxpost [m3/s]","Q_param_low [[m3/s]","Q_param_high [m3/s]","Q_total_low [m3/s]","Q_total_high [m3/s]"
1902-02-12 07:00:00,27897.5,26983.0,28679.1,26909.8,28850.3
1902-02-13 07:00:00,27830.8,26940.2,28603.7,26786.7,28749.6
1902-02-14 07:00:00,27764.1,27009.3,28425.2,26721.7,28744.7
1902-02-15 07:00:00,27697.5,26797.0,28459.0,26646.3,28661.4
1902-02-16 07:00:00,27564.5,26744.4,28301.6,26473.2,28459.9
1902-02-17 07:00:00,27498.0,26674.1,28258.1,26505.3,28460.4
1902-02-18 07:00:00,27431.6,26531.0,28107.7,26375.2,28386.7
1902-02-19 07:00:00,27365.3,26471.9,28036.8,26332.8,28225.4
1902-02-20 07:00:00,27365.3,26575.5,28195.6,26452.8,28369.2
1902-02-21 07:00:00,27498.0,26591.1,28392.1,26480.9,28491.7
1902-02-22 07:00:00,27431.6,26443.8,28164.3,26320.7,28444.6
1902-02-23 07:00:00,27431.6,26532.6,28291.9,26365.2,28548.0
1902-02-24 07:00:00,27498.0,26628.2,28289.1,26476.4,28365.8
1902-02-25 07:00:00,27631.0,26829.0,28323.8,26612.4,28487.1
1902-02-26 07:00:00,27830.8,27020.0,28544.3,26813.6,28727.9
1902-02-27 07:00:00,27764.1,26784.1,28507.9,26782.9,28799.5
1902-02-28 07:00:00,27564.5,26743.3,28257.9,26599.9,28485.8
1902-03-01 07:00:00,27498.0,26610.9,28215.3,26429.0,28443.3
1902-03-02 07:00:00,27564.5,26707.9,28338.6,26606.0,28639.3
1902-03-03 07:00:00,27631.0,26767.2,28352.8,26466.8,28609.8
1902-03-04 07:00:00,27830.8,27066.5,28592.8,26874.5,28779.4
1902-03-05 07:00:00,28031.1,27191.6,28760.6,26961.9,28949.7
1902-03-06 07:00:00,28433.2,27587.9,29226.9,27336.2,29382.4
1902-03-07 07:00:00,28567.6,27680.1,29319.5,27551.6,29537.6
1902-03-08 07:00:00,28904.7,28023.3,29671.3,27780.5,29908.1
1902-03-09 07:00:00,29039.9,28095.7,29725.5,28002.5,29989.2
1902-03-10 07:00:00,29107.6,28363.8,30016.4,28073.2,30095.4
1902-03-11 07:00:00,29175.3,28296.2,29924.3,28124.7,30164.0
1902-03-12 07:00:00,29243.1,28395.4,30085.5,28212.9,30201.5
1902-03-13 07:00:00,29311.0,28443.3,29990.7,28257.4,30241.6
1902-03-14 07:00:00,29311.0,28470.6,30108.8,28364.7,30257.8
1902-03-15 07:00:00,29378.9,28439.0,30274.5,28279.0,30428.3
1902-03-16 07:00:00,29514.8,28639.3,30272.6,28376.1,30527.2
1902-03-17 07:00:00,29651.0,28797.9,30356.4,28578.2,30456.4
1902-03-18 07:00:00,29719.2,28911.9,30450.8,28566.2,30602.6
1902-03-19 07:00:00,29855.7,29036.0,30617.8,28777.0,30786.2
1902-03-20 07:00:00,30060.8,29133.4,30787.4,28884.9,30982.7
1902-03-21 07:00:00,30472.5,29602.4,31118.4,29452.7,31354.0
1902-03-22 07:00:00,30748.0,29881.5,31498.7,29756.1,31753.5
1902-03-23 07:00:00,30817.0,29924.7,31520.0,29700.1,31764.0
1902-03-24 07:00:00,30886.1,30094.5,31525.2,29800.4,31655.4
1902-03-25 07:00:00,30955.2,30139.2,31735.5,29932.1,31883.9
1902-03-26 07:00:00,31024.4,30173.2,31774.5,30061.5,32033.7
1902-03-27 07:00:00,31093.6,30181.5,31837.5,30173.8,32057.1
1902-03-28 07:00:00,31093.6,30199.1,31848.2,29967.8,31960.1
1902-03-29 07:00:00,31232.2,30370.7,32026.2,30111.3,32172.8
1902-03-30 07:00:00,31440.5,30614.7,32293.2,30413.3,32454.0
1902-03-31 07:00:00,31579.7,30669.5,32279.2,30579.1,32413.8
1902-04-01 07:00:00,31858.6,31007.3,32550.9,30689.8,32733.4
1902-04-02 07:00:00,32208.4,31389.2,32997.8,31162.9,33242.5
1902-04-03 07:00:00,32559.4,31755.4,33387.7,31557.1,33487.9
1902-04-04 07:00:00,32911.8,32005.9,33627.1,31784.7,33814.3
1902-04-05 07:00:00,33265.5,32376.4,34058.4,32208.4,34308.4
1902-04-06 07:00:00,33336.4,32436.0,33946.3,32167.0,34223.2
1902-04-07 07:00:00,33691.6,32759.1,34427.3,32602.3,34596.4
1902-04-08 07:00:00,33834.0,32905.1,34551.7,32746.4,34868.9
1902-04-09 07:00:00,33976.7,33117.3,34641.1,32795.6,34941.1
1902-04-10 07:00:00,34048.1,33216.9,34836.8,33007.8,35000.4
1902-04-11 07:00:00,34048.1,33242.8,34765.2,32941.2,34922.4
1902-04-12 07:00:00,34119.5,33299.5,34850.6,33061.0,35090.6
1902-04-13 07:00:00,34262.6,33408.2,35012.7,33167.7,35175.9
1902-04-14 07:00:00,34477.5,33602.0,35119.8,33370.5,35359.1
1902-04-15 07:00:00,34836.8,33909.5,35504.6,33758.9,35675.7
1902-04-16 07:00:00,35125.2,34269.2,35987.0,33924.0,36037.0
1902-04-17 07:00:00,35414.3,34362.0,36124.4,34189.8,36404.1
1902-04-18 07:00:00,35849.6,35021.0,36542.5,34752.9,36744.3
1902-04-19 07:00:00,36213.7,35241.6,36879.7,34961.1,37031.6
1902-04-20 07:00:00,36725.5,35676.5,37456.2,35566.0,37700.6
1902-04-21 07:00:00,36945.6,36046.8,37713.7,35709.1,38004.5
1902-04-22 07:00:00,37313.4,36472.6,38027.7,36208.0,38219.8
1902-04-23 07:00:00,37460.9,36550.1,38220.8,36322.0,38369.1
1902-04-24 07:00:00,37608.5,36680.1,38305.6,36426.1,38640.5
1902-04-25 07:00:00,37682.5,36793.8,38510.3,36593.9,38666.6
1902-04-26 07:00:00,37608.5,36789.1,38325.1,36492.8,38501.3
1902-04-27 07:00:00,37460.9,36580.9,38229.5,36361.1,38537.6
1902-04-28 07:00:00,37387.1,36464.3,38127.0,36193.6,38339.1
1902-04-29 07:00:00,37313.4,36424.7,38115.8,36059.5,38184.6
1902-04-30 07:00:00,37166.1,36193.0,37864.6,35870.8,38142.5
1902-05-01 07:00:00,37092.6,36177.3,37777.5,35883.2,38022.8
1902-05-02 07:00:00,37092.6,36163.4,37808.3,35970.0,37867.0
1902-05-03 07:00:00,37092.6,36197.9,37870.2,35939.9,38137.8
1902-05-04 07:00:00,37092.6,36230.9,37766.3,36095.4,37914.1
1902-05-05 07:00:00,37019.0,36120.6,37767.7,35927.1,37922.2
1902-05-06 07:00:00,36945.6,36050.1,37786.2,35701.8,37963.5
1902-05-07 07:00:00,36872.2,35776.2,37606.4,35679.3,37869.7
1902-05-08 07:00:00,36798.8,35866.0,37450.1,35564.0,37654.5
1902-05-09 07:00:00,36725.5,35826.8,37428.0,35648.8,37673.0
1902-05-10 07:00:00,36432.7,35385.8,37281.1,35193.2,37393.8
1902-05-11 07:00:00,36067.9,35064.5,36717.7,34785.3,36940.1
1902-05-12 07:00:00,35995.1,34926.6,36659.2,34790.1,36948.1
1902-05-13 07:00:00,35704.3,34768.6,36396.7,34485.8,36669.6
1902-05-14 07:00:00,35414.3,34513.7,36144.0,34291.3,36491.6
1902-05-15 07:00:00,35269.7,34346.1,35946.1,34112.3,36195.9
1902-05-16 07:00:00,35125.2,34280.0,35787.9,33973.4,36042.8
1902-05-17 07:00:00,35053.0,34281.4,35790.3,33975.2,35940.5
1902-05-18 07:00:00,34908.8,33969.6,35616.8,33797.0,35857.2
1902-05-19 07:00:00,34764.9,33782.3,35679.3,33466.4,35777.8
1902-05-20 07:00:00,34908.8,33935.4,35579.9,33693.4,35922.5
1902-05-21 07:00:00,35125.2,34149.5,35813.3,33897.8,36062.0
1902-05-22 07:00:00,35197.4,34214.9,35926.7,34050.8,36110.9
1902-05-23 07:00:00,35269.7,34361.0,35971.0,34158.2,36215.1
1902-05-24 07:00:00,35486.7,34651.3,36126.1,34490.2,36386.2
1902-05-25 07:00:00,35414.3,34468.1,36177.1,34215.7,36282.8
1902-05-26 07:00:00,35559.2,34603.1,36309.1,34376.9,36429.5
1902-05-27 07:00:00,35776.9,34766.4,36506.8,34542.3,36630.1
1902-05-28 07:00:00,35849.6,34974.8,36534.7,34678.4,36730.7
1902-05-29 07:00:00,35995.1,35052.5,36640.8,34798.5,36906.0
1902-05-30 07:00:00,36067.9,35219.5,36797.4,34894.8,36957.8
1902-05-31 07:00:00,35995.1,35006.4,36752.2,34843.8,36853.8
1902-06-01 07:00:00,35995.1,35082.4,36725.8,34876.8,36897.5
1902-06-02 07:00:00,35995.1,35075.1,36638.5,34831.6,36852.6
1902-06-03 07:00:00,35995.1,35052.7,36735.1,34783.5,37021.3
1902-06-04 07:00:00,35995.1,35154.5,36806.1,34955.0,37035.2
1902-06-05 07:00:00,35995.1,35077.1,36662.3,34937.3,36855.4
1902-06-06 07:00:00,36067.9,35053.9,36747.8,34823.8,36978.7
1902-06-07 07:00:00,35922.3,35057.1,36612.6,34896.9,36820.2
1902-06-08 07:00:00,35995.1,35085.8,36693.7,34948.7,36932.9
1902-06-09 07:00:00,35776.9,34934.4,36383.8,34643.8,36633.1
1902-06-10 07:00:00,35559.2,34668.3,36252.7,34502.6,36548.1
1902-06-11 07:00:00,35125.2,34202.7,35870.2,33904.0,36143.3
1902-06-12 07:00:00,35125.2,34321.4,35831.4,34128.7,36087.0
1902-06-13 07:00:00,34693.0,33878.4,35387.8,33641.2,35655.2
1902-06-14 07:00:00,33976.7,33019.5,34627.7,32829.6,34926.1
1902-06-15 07:00:00,33620.4,32647.3,34485.2,32509.9,34724.6
1902-06-16 07:00:00,33265.5,32320.4,33964.1,32124.8,34262.5
1902-06-17 07:00:00,32911.8,32012.2,33532.6,31806.4,33791.8
1902-06-18 07:00:00,32559.4,31596.1,33189.2,31481.2,33410.8
1902-06-19 07:00:00,31858.6,31012.3,32617.3,30764.1,32948.1
1902-06-20 07:00:00,31232.2,30353.0,31877.8,30164.4,32010.1
1902-06-21 07:00:00,30817.0,29952.7,31555.9,29741.8,31856.7
1902-06-22 07:00:00,30060.8,29164.9,30734.2,28999.2,31036.5
1902-06-23 07:00:00,30266.4,29335.4,30998.3,29208.0,31198.4
1902-06-24 07:00:00,29992.4,29140.5,30729.1,28929.5,30910.3
1902-06-25 07:00:00,29719.2,28907.6,30406.0,28726.4,30765.9
1902-06-26 07:00:00,29311.0,28431.0,30092.8,28259.7,30290.6
1902-06-27 07:00:00,29039.9,28203.1,29854.2,27957.0,30079.0
1902-06-28 07:00:00,28702.3,27876.9,29508.9,27626.3,29570.0
1902-06-29 07:00:00,28500.4,27600.2,29349.8,27435.0,29531.5
1902-06-30 07:00:00,28366.0,27392.8,29053.3,27441.4,29216.8
1902-07-01 07:00:00,28231.9,27383.9,28977.9,27120.6,29180.8
