Date;H
1816-05-15;2.5
1816-05-16;2.41
1816-05-17;2.33
1816-05-18;2.36
1816-05-19;2.5
1816-05-20;2.67
1816-05-21;2.67
1816-05-22;3.08
1816-05-23;3
1816-05-24;3
1816-05-25;3
1816-05-26;3
1816-05-27;3
1816-05-28;3.19
1816-05-29;3.19
1816-05-30;3
1816-05-31;2.75
1816-06-01;2.67
1816-06-02;2.47
1816-06-03;2.33
1816-06-04;2.17
1816-06-05;2.08
1816-06-06;2.08
1816-06-07;2.08
1816-06-08;1.92
1816-06-09;1.75
1816-06-10;1.58
1816-06-11;2
1816-06-12;2.17
1816-06-13;2.41
1816-06-14;2.33
1816-06-15;2.33
1816-06-16;2.5
1816-06-17;2.84
1816-06-18;3.17
1816-06-19;3.39
1816-06-20;3.39
1816-06-21;3.08
1816-06-22;2.89
1816-06-23;2.84
1816-06-24;2.84
1816-06-25;2.98
1816-06-26;3.08
1816-06-27;2.95
1816-06-28;2.84
1816-06-29;3.39
1816-06-30;3.84
1816-07-01;4.03
1816-07-02;3.73
1816-07-03;3.73
1816-07-04;3.98
1816-07-05;3.75
1816-07-06;3.25
1816-07-07;3.03
1816-07-08;3
1816-07-09;3.03
1816-07-10;3.22
1816-07-11;3.25
1816-07-12;3.5
1816-07-13;3.39
1816-07-14;3.5
1816-07-15;3.47
1816-07-16;3.19
1816-07-17;3.06
1816-07-18;3.67
1816-07-19;3.92
1816-07-20;3.75
1816-07-21;3.33
1816-07-22;3.08
1816-07-23;3.11
1816-07-24;3.17
1816-07-25;3.33
1816-07-26;3.64
1816-07-27;3.55
1816-07-28;2.84
1816-07-29;2.52
1816-07-30;2.5
1816-07-31;3.7
1816-08-01;4.25
1816-08-02;5.25
1816-08-03;5.08
1816-08-04;4.86
1816-08-05;4.61
1816-08-06;3.67
1816-08-07;3.52
1816-08-08;4.19
1816-08-09;3.5
1816-08-10;3.11
1816-08-11;2.89
1816-08-12;2.95
1816-08-13;2.92
1816-08-14;2.84
1816-08-15;2.78
1816-08-16;2.81
1816-08-17;2.84
1816-08-18;3
1816-08-19;2.92
1816-08-20;2.61
1816-08-21;2.58
1816-08-22;2.6
1816-08-23;2.28
1816-08-24;2.17
1816-08-25;2.03
1816-08-26;1.86
1816-08-27;1.75
1816-08-28;1.58
1816-08-29;1.47
1816-08-30;1.41
1816-08-31;1.33
1816-09-01;1.33
1816-09-02;1.39
1816-09-03;1.5
1816-09-04;1.58
1816-09-05;1.5
1816-09-06;1.39
1816-09-07;1.33
1816-09-08;1.61
1816-09-09;1.89
1816-09-10;2.06
1816-09-11;1.92
1816-09-12;1.89
1816-09-13;1.86
1816-09-14;2.06
1816-09-15;2.25
1816-09-16;2.17
1816-09-17;2.03
1816-09-18;2
1816-09-19;1.95
1816-09-20;1.78
1816-09-21;1.67
1816-09-22;1.67
1816-09-23;1.67
1816-09-24;1.61
1816-09-25;1.58
1816-09-26;1.44
1816-09-27;1.31
1816-09-28;1.22
1816-09-29;1.19
1816-09-30;1.11
1816-10-01;1.03
1816-10-02;0.98
1816-10-03;0.92
1816-10-04;0.86
1816-10-05;0.84
1816-10-06;0.81
1816-10-07;0.78
1816-10-08;0.78
1816-10-09;0.75
1816-10-10;0.75
1816-10-11;0.73
1816-10-12;0.7
1816-10-13;0.67
1816-10-14;0.67
1816-10-15;0.64
1816-10-16;0.61
1816-10-17;0.58
1816-10-18;0.55
1816-10-19;0.5
1816-10-20;0.47
1816-10-21;0.46
1816-10-22;0.41
1816-10-23;0.44
1816-10-24;0.39
1816-10-25;0.36
1816-10-26;0.39
1816-10-27;1.15
1816-10-28;2
1816-10-29;2
1816-10-30;1.41
1816-10-31;1.48
1816-11-01;2.67
1816-11-02;2.92
1816-11-03;2.17
1816-11-04;1.5
1816-11-05;3.47
1816-11-06;3.14
1816-11-07;3.08
1816-11-08;3.98
1816-11-09;4.67
1816-11-10;4.33
1816-11-11;3.67
1816-11-12;3.39
1816-11-13;3.25
1816-11-14;3.08
1816-11-15;3.22
1816-11-16;3.58
1816-11-17;4
1816-11-18;4.08
1816-11-19;3.67
1816-11-20;3.52
1816-11-21;3.33
1816-11-22;3.17
1816-11-23;2.89
1816-11-24;3.17
1816-11-25;4.06
1816-11-26;3.81
1816-11-27;3.33
1816-11-28;2.84
1816-11-29;2.67
1816-11-30;2.5
1816-12-01;2.28
1816-12-02;1.84
1816-12-03;1.67
1816-12-04;1.47
1816-12-05;1.28
