Year;Date;Time;H;uH;Q;uQ
1816;1816-08-02;1816.62909836066;5.69;0.45;7300.56;1081.245
1817;1817-01-21;1817.09767759563;4.56;0.4075;5462.3;868.2525
1818;1818-04-27;1818.36407103825;4.72;0.43;5708.55;835.1525
1819;1819-11-18;1819.92281420765;5.08;0.4125;6279.76;943.6175
1820;1820-01-19;1820.09221311475;5.12;0.4925;6344.68;1037.205
1821;1821-12-26;1822.02800546448;5.4;0.39;6807.08;948.1875
1822;1822-12-04;1822.96789617486;3.48;0.4125;3927.52;715.2025
1823;1823-02-03;1823.13183060109;5.49;0.365;6958.65;904.17
1824;1824-11-25;1824.94193989071;5.61;0.4075;7162.96;990.0175
1825;1825-11-15;1825.91461748634;6.26;0.4525;8303.71;1043.0425
1826;1826-12-17;1827.00341530055;4.66;0.4;5615.66;846.4925
1827;1827-10-11;1827.82035519126;6.53;0.4875;8811.5;1355.7825
1828;1828-04-21;1828.34767759563;3.97;0.4125;4602.89;749.55
1829;1829-12-03;1829.96516393443;5.73;0.445;7369.78;1053.9925
1830;1830-11-12;1830.90642076503;5.15;0.415;6393.55;936.275
1831;1831-03-03;1831.21516393443;4.24;0.455;4984.14;832.68
1832;1832-10-07;1832.80942622951;3.48;0.425;3920.95;805.855
1833;1833-02-06;1833.1400273224;4.29;0.4325;5057.58;813.1775
1834;1834-08-31;1834.70833333333;5.38;0.4475;6773.59;1053.325
1835;1835-10-13;1835.82581967213;4.24;0.4175;4991.46;828.975
1836;1836-10-09;1836.81489071038;6.39;0.48;8551.41;1195.1475
1837;1837-03-14;1837.24521857924;3.75;0.4725;4289.89;850.8175
1838;1838-03-23;1838.26980874317;4.57;0.415;5477.56;830.0175
1839;1839-10-08;1839.81215846995;5.86;0.3925;7596.65;1003.455
1840;1840-11-03;1840.88183060109;8.74;0.4725;12610.58;1030.065
1841;1841-10-27;1841.86407103825;6.95;0.4725;8964.49;936.3075
1842;1842-09-28;1842.78346994536;5.75;0.0525;6821.33;256.43
1843;1843-11-03;1843.88183060109;6.66;0.05;8424.24;294.1025
1844;1844-10-25;1844.85860655738;5.24;0.0525;5978.19;240.1575
1845;1845-11-13;1845.90915300546;4.9;0.05;5455.44;216.4075
1846;1846-10-19;1846.84221311475;6.28;0.0475;7737.66;266.0275
1847;1847-04-16;1847.33401639344;5.44;0.0475;6308.14;232.3825
1848;1848-04-21;1848.34767759563;5.7;0.05;6737.41;241.32
1849;1849-11-28;1849.95013661202;4.78;0.12;5273.22;259.1825
1850;1850-11-28;1850.95013661202;3.73;0.12;3796.12;221.4875
1851;1851-02-04;1851.13456284153;4.75;0.11;5228.08;257.05
1852;1852-08-13;1852.65915300546;5.11;0.0525;5780.73;222.54
1853;1853-10-30;1853.87226775956;5.59;0.0475;6554.33;224.465
1854;1854-06-03;1854.46516393443;4.45;0.13;4786.03;255.2175
1855;1855-10-21;1855.84767759563;5.7;0.05;6737.41;243.155
1856;1856-05-31;1856.45833333333;8.78;0.1975;12686.7;572.0575
1857;1857-11-26;1857.94467213115;4.85;0.12;4769.35;252.1725
1858;1858-03-04;1858.21789617486;4.54;0.1375;4327.26;254.2925
1859;1859-11-05;1859.88729508197;4.87;0.0525;4798.5;179.125
1860;1860-12-10;1860.98428961749;4.71;0.14;4567.42;248.4675
1861;1861-01-03;1861.04849726776;4.14;0.1175;3784.42;208.5475
1862;1862-12-03;1862.96516393443;4.72;0.12;4581.72;251.2775
1863;1863-01-08;1863.06215846995;5.55;0.055;5833.99;215.52
1864;1864-10-28;1864.86680327869;6.15;0.05;6817.23;247.005
